ibge_id,uf,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,Alta Floresta D'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1100031,RO,Cabixi,,-60.5443135812,-13.4997634597,Cabixi,,Colorado do Oeste,Leste Rondoniense
1100049,RO,Cacoal,,-61.4429442118,-11.4338650287,Cacoal,,Cacoal,Leste Rondoniense
1100056,RO,Cerejeiras,,-60.8184261647,-13.195033032,Cerejeiras,,Colorado do Oeste,Leste Rondoniense
1100064,RO,Colorado do Oeste,,-60.5550674631,-13.1305638415,Colorado do Oeste,,Colorado do Oeste,Leste Rondoniense
1100072,RO,Corumbiara,,-60.9487011707,-12.9975202365,Corumbiara,,Colorado do Oeste,Leste Rondoniense
2509701,PB,Monteiro,,-37.1226806806,-7.892217,Monteiro,,Cariri Ocidental,Borborema
2509800,PB,Mulungu,,-35.4651434243,-7.0278860316,Mulungu,,Guarabira,Agreste Paraibano
